part_id,part_type,part_name,category,subcategory,oem,unit_cost,lead_time_days,compatible_models,is_active,usage_bucket,sampling_weight
P-1012,coolant_pump,COOLANT_PUMP-56,cooling,pumps,VectorMech,125.4,1,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1013,thermostat,THERMOSTAT-15,cooling,controls,OmniDrive,76.45,7,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1014,air_regulator,AIR_REGULATOR-20,pneumatic,regulators,ForgeLine,27.92,8,CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|PACK-700,True,head,0.0042354934349851
P-1015,drive_chain,DRIVE_CHAIN-95,mechanical,chains,AtlasMotion,71.95,5,CONV-X200|CONV-X350|PACK-700|PACK-900,True,head,0.0042354934349851
P-1016,radiator_core,RADIATOR_CORE-87,cooling,heat_exchange,OmniDrive,71.86,14,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1017,sensor_prox,SENSOR_PROX-30,electrical,sensors,AtlasMotion,118.92,2,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-700|PACK-900,True,mid,0.0014824227022448
P-1018,pump,PUMP-50,hydraulic,pumps,VectorMech,185.8,2,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1019,relay,RELAY-92,electrical,switchgear,HydraCore,136.71,1,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-700|PACK-900,True,head,0.0042354934349851
P-1020,seal_kit,SEAL_KIT-73,mechanical,seals,VectorMech,13.75,7,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1021,spindle_motor,SPINDLE_MOTOR-29,electromechanical,motors,OmniDrive,179.08,7,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1022,solenoid_valve,SOLENOID_VALVE-86,pneumatic,valves,HydraCore,110.75,5,CONV-X200|MILL-5AX|PACK-700|PACK-900,True,head,0.0042354934349851
P-1023,sensor_prox,SENSOR_PROX-97,electrical,sensors,OmniDrive,8.0,4,CNC-4020|CONV-X200|CONV-X350|MILL-3AX,True,tail,0.0004235493434985
P-1024,hydraulic_hose,HYDRAULIC_HOSE-10,hydraulic,hoses,HydraCore,83.15,11,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1025,coolant_filter,COOLANT_FILTER-74,cooling,filters,ForgeLine,147.49,1,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,mid,0.0014824227022448
P-1026,fuse,FUSE-90,electrical,protection,OmniDrive,145.93,5,CNC-4020|CNC-5100|CONV-X200|HYD-Press-880|HYD-Press-940|MILL-3AX|PACK-900,True,head,0.0042354934349851
P-1027,relay,RELAY-24,electrical,switchgear,OmniDrive,65.85,9,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-5AX|PACK-900,True,head,0.0042354934349851
P-1028,shaft_seal,SHAFT_SEAL-26,mechanical,seals,VectorMech,202.48,10,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1029,relay,RELAY-31,electrical,switchgear,VectorMech,52.86,5,CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|PACK-700,True,tail,0.0004235493434985
P-1030,radiator_core,RADIATOR_CORE-66,cooling,heat_exchange,ForgeLine,146.5,10,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1031,contactor,CONTACTOR-41,electrical,switchgear,OmniDrive,81.67,6,CNC-4020|CNC-5100|CONV-X200|CONV-X350|MILL-5AX|PACK-700,True,head,0.0042354934349851
P-1032,bearing_set,BEARING_SET-90,mechanical,bearings,OmniDrive,31.49,2,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,mid,0.0014824227022448
P-1033,shaft_seal,SHAFT_SEAL-52,mechanical,seals,OmniDrive,185.0,12,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1034,fluid_filter,FLUID_FILTER-95,hydraulic,filters,ForgeLine,114.24,11,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1035,sensor_prox,SENSOR_PROX-83,electrical,sensors,AtlasMotion,148.93,4,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-700|PACK-900,True,head,0.0042354934349851
P-1036,coolant_filter,COOLANT_FILTER-96,cooling,filters,OmniDrive,148.91,13,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1037,coolant_pump,COOLANT_PUMP-17,cooling,pumps,OmniDrive,117.13,13,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1038,idler_roller,IDLER_ROLLER-41,mechanical,rollers,OmniDrive,8.0,10,CONV-X200|CONV-X350|PACK-700|PACK-900,True,tail,0.0004235493434985
P-1039,sensor_prox,SENSOR_PROX-27,electrical,sensors,HydraCore,126.96,5,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-900,True,head,0.0042354934349851
P-1040,air_regulator,AIR_REGULATOR-31,pneumatic,regulators,AtlasMotion,127.34,1,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-700|PACK-900,True,head,0.0042354934349851
P-1041,pressure_valve,PRESSURE_VALVE-46,hydraulic,valves,HydraCore,102.43,8,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1042,coolant_filter,COOLANT_FILTER-94,cooling,filters,VectorMech,238.23,4,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1043,seal_kit,SEAL_KIT-47,mechanical,seals,AtlasMotion,55.32,4,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1044,spindle_motor,SPINDLE_MOTOR-79,electromechanical,motors,VectorMech,193.23,8,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1045,idler_roller,IDLER_ROLLER-16,mechanical,rollers,OmniDrive,77.62,9,CONV-X200|CONV-X350|PACK-700|PACK-900,True,head,0.0042354934349851
P-1046,fuse,FUSE-30,electrical,protection,VectorMech,127.77,10,CNC-5100|HYD-Press-880|MILL-3AX,True,head,0.0042354934349851
P-1047,shaft_seal,SHAFT_SEAL-61,mechanical,seals,AtlasMotion,63.84,5,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1048,wiring_harness,WIRING_HARNESS-84,electrical,cabling,AtlasMotion,88.63,1,CNC-5100|MILL-5AX|PACK-700,True,head,0.0042354934349851
P-1049,wiring_harness,WIRING_HARNESS-50,electrical,cabling,VectorMech,143.69,8,CNC-5100|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-5AX|PACK-700|PACK-900,True,mid,0.0014824227022448
P-1050,air_regulator,AIR_REGULATOR-11,pneumatic,regulators,OmniDrive,120.41,6,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-700|PACK-900,True,head,0.0042354934349851
P-1051,drive_chain,DRIVE_CHAIN-30,mechanical,chains,ForgeLine,8.0,5,CONV-X200|CONV-X350|PACK-700|PACK-900,True,tail,0.0004235493434985
P-1052,sensor_prox,SENSOR_PROX-88,electrical,sensors,ForgeLine,92.58,3,CNC-5100|CONV-X200|MILL-3AX,True,head,0.0042354934349851
P-1053,seal_kit,SEAL_KIT-24,mechanical,seals,ForgeLine,107.1,8,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1054,coolant_filter,COOLANT_FILTER-29,cooling,filters,VectorMech,270.89,7,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1055,fan,FAN-53,cooling,air_movement,AtlasMotion,140.6,6,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,tail,0.0004235493434985
P-1056,coolant_pump,COOLANT_PUMP-74,cooling,pumps,ForgeLine,8.0,6,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1057,frl_unit,FRL_UNIT-21,pneumatic,conditioning,OmniDrive,124.82,16,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-700,True,head,0.0042354934349851
P-1058,tensioner,TENSIONER-11,mechanical,tensioners,VectorMech,104.61,8,CONV-X200|CONV-X350|PACK-700|PACK-900,True,head,0.0042354934349851
P-1059,thermostat,THERMOSTAT-79,cooling,controls,AtlasMotion,117.22,2,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1060,drive_chain,DRIVE_CHAIN-80,mechanical,chains,VectorMech,211.43,10,CONV-X200|CONV-X350|PACK-700|PACK-900,True,head,0.0042354934349851
P-1061,seal_kit,SEAL_KIT-49,mechanical,seals,OmniDrive,183.28,3,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1062,solenoid_valve,SOLENOID_VALVE-55,pneumatic,valves,OmniDrive,232.22,1,CNC-5100|CONV-X200|CONV-X350|HYD-Press-940|MILL-5AX|PACK-700,True,mid,0.0014824227022448
P-1063,coolant_filter,COOLANT_FILTER-40,cooling,filters,AtlasMotion,166.95,15,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,mid,0.0014824227022448
P-1064,solenoid_valve,SOLENOID_VALVE-62,pneumatic,valves,AtlasMotion,40.76,4,CONV-X350|HYD-Press-880|PACK-700,True,head,0.0042354934349851
P-1065,frl_unit,FRL_UNIT-44,pneumatic,conditioning,AtlasMotion,127.97,4,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|PACK-700,True,head,0.0042354934349851
P-1066,air_line,AIR_LINE-54,pneumatic,hoses,HydraCore,8.0,7,CNC-4020|CNC-5100|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1067,shaft_seal,SHAFT_SEAL-54,mechanical,seals,ForgeLine,35.02,8,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1068,chain_lube,CHAIN_LUBE-52,consumable,lubricants,VectorMech,46.45,13,CONV-X200|CONV-X350|PACK-700|PACK-900,True,head,0.0042354934349851
P-1069,high_temp_grease,HIGH_TEMP_GREASE-32,consumable,lubricants,ForgeLine,57.34,5,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,tail,0.0004235493434985
P-1070,pressure_valve,PRESSURE_VALVE-23,hydraulic,valves,OmniDrive,185.08,2,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1071,drive_chain,DRIVE_CHAIN-65,mechanical,chains,ForgeLine,138.2,12,CONV-X200|CONV-X350|PACK-700|PACK-900,True,mid,0.0014824227022448
P-1072,fuse,FUSE-59,electrical,protection,OmniDrive,8.0,7,CNC-4020|CONV-X200|CONV-X350|MILL-3AX|MILL-5AX|PACK-700,True,head,0.0042354934349851
P-1073,coolant_filter,COOLANT_FILTER-56,cooling,filters,AtlasMotion,140.79,10,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1074,radiator_core,RADIATOR_CORE-89,cooling,heat_exchange,ForgeLine,21.04,1,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1075,frl_unit,FRL_UNIT-48,pneumatic,conditioning,OmniDrive,161.76,8,CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|MILL-3AX|MILL-5AX|PACK-700,True,mid,0.0014824227022448
P-1076,radiator_core,RADIATOR_CORE-96,cooling,heat_exchange,HydraCore,140.04,8,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1077,hydraulic_hose,HYDRAULIC_HOSE-82,hydraulic,hoses,VectorMech,65.6,7,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1078,sensor_prox,SENSOR_PROX-48,electrical,sensors,OmniDrive,143.45,4,CNC-5100|CONV-X350|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-700|PACK-900,True,head,0.0042354934349851
P-1079,solenoid_valve,SOLENOID_VALVE-94,pneumatic,valves,AtlasMotion,269.26,8,CNC-4020|CONV-X200|CONV-X350|MILL-3AX,True,head,0.0042354934349851
P-1080,air_regulator,AIR_REGULATOR-96,pneumatic,regulators,AtlasMotion,24.7,9,CNC-4020|CNC-5100|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-700,True,head,0.0042354934349851
P-1081,air_regulator,AIR_REGULATOR-68,pneumatic,regulators,OmniDrive,42.03,10,CNC-4020|CNC-5100|CONV-X200|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-700|PACK-900,True,mid,0.0014824227022448
P-1082,frl_unit,FRL_UNIT-64,pneumatic,conditioning,OmniDrive,212.69,3,CNC-4020|CNC-5100|CONV-X200|HYD-Press-880|MILL-3AX|PACK-900,True,head,0.0042354934349851
P-1083,high_temp_grease,HIGH_TEMP_GREASE-27,consumable,lubricants,HydraCore,197.07,8,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1084,radiator_core,RADIATOR_CORE-81,cooling,heat_exchange,VectorMech,185.76,14,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,mid,0.0014824227022448
P-1085,air_regulator,AIR_REGULATOR-88,pneumatic,regulators,HydraCore,100.37,3,CNC-4020|CNC-5100|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-700|PACK-900,True,head,0.0042354934349851
P-1086,fuse,FUSE-90,electrical,protection,HydraCore,48.84,3,CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|MILL-3AX|PACK-900,True,mid,0.0014824227022448
P-1087,idler_roller,IDLER_ROLLER-20,mechanical,rollers,VectorMech,113.83,8,CONV-X200|CONV-X350|PACK-700|PACK-900,True,head,0.0042354934349851
P-1088,fluid_filter,FLUID_FILTER-98,hydraulic,filters,HydraCore,142.14,10,HYD-Press-880|HYD-Press-940,True,mid,0.0014824227022448
P-1089,pump,PUMP-63,hydraulic,pumps,OmniDrive,121.04,12,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1090,sensor_prox,SENSOR_PROX-63,electrical,sensors,HydraCore,98.83,17,HYD-Press-940|MILL-3AX|PACK-700,True,mid,0.0014824227022448
P-1091,wiring_harness,WIRING_HARNESS-83,electrical,cabling,OmniDrive,170.05,3,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-900,True,head,0.0042354934349851
P-1092,relay,RELAY-59,electrical,switchgear,OmniDrive,34.33,8,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|MILL-5AX|PACK-700|PACK-900,True,tail,0.0004235493434985
P-1093,radiator_core,RADIATOR_CORE-20,cooling,heat_exchange,OmniDrive,102.12,9,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1094,seal_kit,SEAL_KIT-33,mechanical,seals,HydraCore,157.86,6,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1095,chain_lube,CHAIN_LUBE-37,consumable,lubricants,ForgeLine,52.26,1,CONV-X200|CONV-X350|PACK-700|PACK-900,True,head,0.0042354934349851
P-1096,idler_roller,IDLER_ROLLER-45,mechanical,rollers,HydraCore,84.28,10,CONV-X200|CONV-X350|PACK-700|PACK-900,True,head,0.0042354934349851
P-1097,air_line,AIR_LINE-42,pneumatic,hoses,HydraCore,137.13,2,CNC-4020|HYD-Press-880|MILL-3AX|PACK-900,True,head,0.0042354934349851
P-1098,shaft_seal,SHAFT_SEAL-13,mechanical,seals,OmniDrive,133.85,8,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1099,pump,PUMP-89,hydraulic,pumps,OmniDrive,49.29,7,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1100,seal_kit,SEAL_KIT-95,mechanical,seals,HydraCore,124.66,2,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1101,pump,PUMP-99,hydraulic,pumps,HydraCore,148.62,9,HYD-Press-880|HYD-Press-940,True,tail,0.0004235493434985
P-1102,drive_chain,DRIVE_CHAIN-87,mechanical,chains,AtlasMotion,206.64,11,CONV-X200|CONV-X350|PACK-700|PACK-900,True,head,0.0042354934349851
P-1103,coolant_filter,COOLANT_FILTER-30,cooling,filters,OmniDrive,9.79,3,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1104,high_temp_grease,HIGH_TEMP_GREASE-13,consumable,lubricants,VectorMech,161.2,9,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,tail,0.0004235493434985
P-1105,wiring_harness,WIRING_HARNESS-60,electrical,cabling,HydraCore,161.2,22,CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-5AX,True,mid,0.0014824227022448
P-1106,solenoid_valve,SOLENOID_VALVE-15,pneumatic,valves,VectorMech,165.67,11,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|MILL-3AX|MILL-5AX|PACK-700,True,tail,0.0004235493434985
P-1107,high_temp_grease,HIGH_TEMP_GREASE-56,consumable,lubricants,HydraCore,196.32,9,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1108,air_line,AIR_LINE-29,pneumatic,hoses,HydraCore,94.78,10,CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-700|PACK-900,True,head,0.0042354934349851
P-1109,fluid_filter,FLUID_FILTER-45,hydraulic,filters,OmniDrive,58.17,6,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1110,fluid_filter,FLUID_FILTER-82,hydraulic,filters,HydraCore,81.17,7,HYD-Press-880|HYD-Press-940,True,tail,0.0004235493434985
P-1111,chain_lube,CHAIN_LUBE-13,consumable,lubricants,ForgeLine,305.17,1,CONV-X200|CONV-X350|PACK-700|PACK-900,True,tail,0.0004235493434985
P-1112,idler_roller,IDLER_ROLLER-72,mechanical,rollers,AtlasMotion,174.9,1,CONV-X200|CONV-X350|PACK-700|PACK-900,True,head,0.0042354934349851
P-1113,solenoid_valve,SOLENOID_VALVE-53,pneumatic,valves,ForgeLine,82.25,11,CNC-4020|CNC-5100|CONV-X200|CONV-X350|MILL-3AX|MILL-5AX|PACK-900,True,head,0.0042354934349851
P-1114,relay,RELAY-40,electrical,switchgear,VectorMech,125.14,2,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-700|PACK-900,True,mid,0.0014824227022448
P-1115,drive_chain,DRIVE_CHAIN-80,mechanical,chains,HydraCore,62.78,9,CONV-X200|CONV-X350|PACK-700|PACK-900,True,head,0.0042354934349851
P-1116,tensioner,TENSIONER-52,mechanical,tensioners,VectorMech,61.57,7,CONV-X200|CONV-X350|PACK-700|PACK-900,True,head,0.0042354934349851
P-1117,contactor,CONTACTOR-49,electrical,switchgear,ForgeLine,123.65,4,CNC-4020|CNC-5100|CONV-X200|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX,True,mid,0.0014824227022448
P-1118,coolant_filter,COOLANT_FILTER-45,cooling,filters,HydraCore,291.52,9,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,mid,0.0014824227022448
P-1119,air_regulator,AIR_REGULATOR-86,pneumatic,regulators,VectorMech,8.0,7,CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-5AX|PACK-700,False,head,0.0042354934349851
P-1120,sensor_prox,SENSOR_PROX-45,electrical,sensors,AtlasMotion,67.06,10,CNC-4020|CONV-X200|MILL-3AX,True,head,0.0042354934349851
P-1121,seal_kit,SEAL_KIT-23,mechanical,seals,HydraCore,56.6,6,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1122,wiring_harness,WIRING_HARNESS-70,electrical,cabling,ForgeLine,160.4,10,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-700|PACK-900,True,head,0.0042354934349851
P-1123,coolant_pump,COOLANT_PUMP-29,cooling,pumps,OmniDrive,23.98,5,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,mid,0.0014824227022448
P-1124,wiring_harness,WIRING_HARNESS-20,electrical,cabling,ForgeLine,82.0,4,CNC-5100|CONV-X200|CONV-X350|MILL-3AX|PACK-700|PACK-900,True,head,0.0042354934349851
P-1125,fuse,FUSE-67,electrical,protection,HydraCore,261.24,8,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-700|PACK-900,True,head,0.0042354934349851
P-1126,hydraulic_hose,HYDRAULIC_HOSE-32,hydraulic,hoses,AtlasMotion,19.13,10,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1127,hydraulic_hose,HYDRAULIC_HOSE-62,hydraulic,hoses,OmniDrive,289.77,11,HYD-Press-880|HYD-Press-940,True,tail,0.0004235493434985
P-1128,fan,FAN-47,cooling,air_movement,HydraCore,8.0,5,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,mid,0.0014824227022448
P-1129,belt,BELT-99,mechanical,belts,ForgeLine,221.35,4,CONV-X200|CONV-X350|PACK-700|PACK-900,True,head,0.0042354934349851
P-1130,shaft_seal,SHAFT_SEAL-43,mechanical,seals,AtlasMotion,155.51,10,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1131,coolant_pump,COOLANT_PUMP-94,cooling,pumps,VectorMech,45.85,6,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1132,pump,PUMP-24,hydraulic,pumps,HydraCore,8.0,2,HYD-Press-880|HYD-Press-940,True,head,0.0042354934349851
P-1133,coolant_pump,COOLANT_PUMP-44,cooling,pumps,AtlasMotion,99.79,2,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,tail,0.0004235493434985
P-1134,shaft_seal,SHAFT_SEAL-31,mechanical,seals,OmniDrive,250.59,1,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,tail,0.0004235493434985
P-1135,fan,FAN-46,cooling,air_movement,VectorMech,84.8,7,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1136,contactor,CONTACTOR-99,electrical,switchgear,ForgeLine,235.3,1,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-900,True,head,0.0042354934349851
P-1137,bearing_set,BEARING_SET-39,mechanical,bearings,OmniDrive,213.05,7,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,mid,0.0014824227022448
P-1138,air_line,AIR_LINE-85,pneumatic,hoses,VectorMech,41.48,8,CNC-4020|CONV-X200|HYD-Press-880,True,head,0.0042354934349851
P-1139,coolant_pump,COOLANT_PUMP-45,cooling,pumps,HydraCore,135.92,4,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1140,wiring_harness,WIRING_HARNESS-91,electrical,cabling,HydraCore,125.58,5,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-700|PACK-900,True,head,0.0042354934349851
P-1141,belt,BELT-80,mechanical,belts,HydraCore,129.08,9,CONV-X200|CONV-X350|PACK-700|PACK-900,True,tail,0.0004235493434985
P-1142,shaft_seal,SHAFT_SEAL-42,mechanical,seals,ForgeLine,246.88,2,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1143,air_regulator,AIR_REGULATOR-75,pneumatic,regulators,HydraCore,290.64,1,MILL-3AX|PACK-700|PACK-900,True,head,0.0042354934349851
P-1144,fuse,FUSE-89,electrical,protection,ForgeLine,107.86,9,CNC-4020|CNC-5100|CONV-X200|CONV-X350|HYD-Press-880|HYD-Press-940|MILL-3AX|MILL-5AX|PACK-700|PACK-900,True,head,0.0042354934349851
P-1145,coolant_pump,COOLANT_PUMP-40,cooling,pumps,VectorMech,142.48,4,CNC-4020|CNC-5100|HYD-Press-940|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
P-1146,belt,BELT-11,mechanical,belts,VectorMech,103.35,5,CONV-X200|CONV-X350|PACK-700|PACK-900,True,head,0.0042354934349851
P-1147,shaft_seal,SHAFT_SEAL-24,mechanical,seals,AtlasMotion,72.85,10,CNC-4020|CNC-5100|MILL-3AX|MILL-5AX,True,head,0.0042354934349851
