ro_id,line_num,part_id,part_name,part_type,qty,unit_cost,line_cost,lead_time_days,is_primary_fix
RO000019,3,P-1027,DRIVE_CHAIN-71,drive_chain,1,60.06,60.06,8,False
RO000020,1,P-1017,FRL_UNIT-56,frl_unit,2,80.96,161.92,1,True
RO000020,2,P-1018,AIR_REGULATOR-18,air_regulator,2,117.94,235.88,1,False
RO000021,1,P-1008,PRESSURE_VALVE-99,pressure_valve,1,37.48,37.48,3,True
RO000021,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000022,1,P-1019,FUSE-98,fuse,1,89.48,89.48,1,True
RO000022,2,P-1021,RELAY-80,relay,1,113.56,113.56,6,False
RO000023,1,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,True
RO000023,2,P-1016,AIR_LINE-91,air_line,1,62.13,62.13,13,False
RO000024,1,P-1009,HYDRAULIC_HOSE-38,hydraulic_hose,1,51.64,51.64,7,True
RO000024,2,P-1012,SEAL_KIT-16,seal_kit,1,83.96,83.96,1,False
RO000025,1,P-1022,RELAY-52,relay,1,77.32,77.32,4,True
RO000025,2,P-1023,CONTACTOR-26,contactor,1,41.87,41.87,3,False
RO000026,1,P-1025,WIRING_HARNESS-78,wiring_harness,1,95.07,95.07,1,True
RO000026,2,P-1022,RELAY-52,relay,1,77.32,77.32,4,False
RO000027,1,P-1008,PRESSURE_VALVE-99,pressure_valve,1,37.48,37.48,3,True
RO000027,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000028,1,P-1020,FUSE-67,fuse,1,44.8,44.8,6,True
RO000028,2,P-1021,RELAY-80,relay,1,113.56,113.56,6,False
RO000029,1,P-1004,RADIATOR_CORE-30,radiator_core,1,165.78,165.78,9,True
RO000029,2,P-1003,COOLANT_FILTER-81,coolant_filter,1,73.31,73.31,5,False
RO000030,1,P-1016,AIR_LINE-91,air_line,1,62.13,62.13,13,True
RO000030,2,P-1017,FRL_UNIT-56,frl_unit,2,80.96,161.92,1,False
RO000030,3,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,False
RO000031,1,P-1005,FAN-54,fan,1,65.94,65.94,8,True
RO000031,2,P-1006,THERMOSTAT-56,thermostat,1,66.12,66.12,4,False
RO000032,1,P-1017,FRL_UNIT-56,frl_unit,1,80.96,80.96,1,True
RO000032,2,P-1018,AIR_REGULATOR-18,air_regulator,1,117.94,117.94,1,False
RO000033,1,P-1009,HYDRAULIC_HOSE-38,hydraulic_hose,1,51.64,51.64,7,True
RO000033,2,P-1013,SEAL_KIT-86,seal_kit,1,63.75,63.75,6,False
RO000034,1,P-1011,PUMP-41,pump,1,157.52,157.52,5,True
RO000034,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000035,1,P-1020,FUSE-67,fuse,1,44.8,44.8,6,True
RO000035,2,P-1021,RELAY-80,relay,1,113.56,113.56,6,False
RO000036,1,P-1004,RADIATOR_CORE-30,radiator_core,1,165.78,165.78,9,True
RO000036,2,P-1002,COOLANT_FILTER-23,coolant_filter,1,109.01,109.01,12,False
RO000037,1,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,True
RO000037,2,P-1016,AIR_LINE-91,air_line,1,62.13,62.13,13,False
RO000037,3,P-1017,FRL_UNIT-56,frl_unit,1,80.96,80.96,1,False
RO000037,4,P-1018,AIR_REGULATOR-18,air_regulator,1,117.94,117.94,1,False
RO000038,1,P-1017,FRL_UNIT-56,frl_unit,1,80.96,80.96,1,True
RO000038,2,P-1018,AIR_REGULATOR-18,air_regulator,1,117.94,117.94,1,False
RO000039,1,P-1030,BELT-30,belt,1,94.54,94.54,9,True
RO000039,2,P-1028,IDLER_ROLLER-43,idler_roller,1,129.53,129.53,9,False
RO000040,1,P-1016,AIR_LINE-91,air_line,2,62.13,124.26,13,True
RO000040,2,P-1017,FRL_UNIT-56,frl_unit,1,80.96,80.96,1,False
RO000040,3,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,False
RO000041,1,P-1019,FUSE-98,fuse,1,89.48,89.48,1,True
RO000041,2,P-1021,RELAY-80,relay,1,113.56,113.56,6,False
RO000041,3,P-1024,SENSOR_PROX-69,sensor_prox,1,66.2,66.2,10,False
RO000042,1,P-1030,BELT-30,belt,1,94.54,94.54,9,True
RO000042,2,P-1028,IDLER_ROLLER-43,idler_roller,1,129.53,129.53,9,False
RO000043,1,P-1026,DRIVE_CHAIN-66,drive_chain,1,94.24,94.24,4,True
RO000043,2,P-1028,IDLER_ROLLER-43,idler_roller,1,129.53,129.53,9,False
RO000044,1,P-1001,COOLANT_PUMP-91,coolant_pump,1,101.85,101.85,5,True
RO000044,2,P-1005,FAN-54,fan,1,65.94,65.94,8,False
RO000044,3,P-1003,COOLANT_FILTER-81,coolant_filter,1,73.31,73.31,5,False
RO000045,1,P-1026,DRIVE_CHAIN-66,drive_chain,1,94.24,94.24,4,True
RO000045,2,P-1028,IDLER_ROLLER-43,idler_roller,1,129.53,129.53,9,False
RO000046,1,P-1004,RADIATOR_CORE-30,radiator_core,1,165.78,165.78,9,True
RO000046,2,P-1002,COOLANT_FILTER-23,coolant_filter,1,109.01,109.01,12,False
RO000047,1,P-1030,BELT-30,belt,1,94.54,94.54,9,True
RO000047,2,P-1028,IDLER_ROLLER-43,idler_roller,1,129.53,129.53,9,False
RO000047,3,P-1031,CHAIN_LUBE-96,chain_lube,1,65.65,65.65,5,False
RO000048,1,P-1030,BELT-30,belt,1,94.54,94.54,9,True
RO000048,2,P-1028,IDLER_ROLLER-43,idler_roller,2,129.53,259.06,9,False
RO000048,3,P-1031,CHAIN_LUBE-96,chain_lube,1,65.65,65.65,5,False
RO000049,1,P-1016,AIR_LINE-91,air_line,1,62.13,62.13,13,True
RO000049,2,P-1017,FRL_UNIT-56,frl_unit,1,80.96,80.96,1,False
RO000049,3,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,False
RO000050,1,P-1017,FRL_UNIT-56,frl_unit,2,80.96,161.92,1,True
RO000050,2,P-1018,AIR_REGULATOR-18,air_regulator,2,117.94,235.88,1,False
RO000051,1,P-1030,BELT-30,belt,1,94.54,94.54,9,True
RO000051,2,P-1029,TENSIONER-17,tensioner,1,55.83,55.83,4,False
RO000052,1,P-1028,IDLER_ROLLER-43,idler_roller,1,129.53,129.53,9,True
RO000052,2,P-1029,TENSIONER-17,tensioner,2,55.83,111.66,4,False
RO000053,1,P-1001,COOLANT_PUMP-91,coolant_pump,1,101.85,101.85,5,True
RO000053,2,P-1003,COOLANT_FILTER-81,coolant_filter,1,73.31,73.31,5,False
RO000054,1,P-1005,FAN-54,fan,1,65.94,65.94,8,True
RO000054,2,P-1006,THERMOSTAT-56,thermostat,1,66.12,66.12,4,False
RO000055,1,P-1011,PUMP-41,pump,1,157.52,157.52,5,True
RO000055,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000056,1,P-1004,RADIATOR_CORE-30,radiator_core,1,165.78,165.78,9,True
RO000056,2,P-1002,COOLANT_FILTER-23,coolant_filter,1,109.01,109.01,12,False
RO000056,3,P-1001,COOLANT_PUMP-91,coolant_pump,2,101.85,203.7,5,False
RO000056,4,P-1005,FAN-54,fan,1,65.94,65.94,8,False
RO000057,1,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,True
RO000057,2,P-1016,AIR_LINE-91,air_line,2,62.13,124.26,13,False
RO000058,1,P-1030,BELT-30,belt,1,94.54,94.54,9,True
RO000058,2,P-1029,TENSIONER-17,tensioner,1,55.83,55.83,4,False
RO000059,1,P-1009,HYDRAULIC_HOSE-38,hydraulic_hose,1,51.64,51.64,7,True
RO000059,2,P-1012,SEAL_KIT-16,seal_kit,1,83.96,83.96,1,False
RO000060,1,P-1024,SENSOR_PROX-69,sensor_prox,2,66.2,132.4,10,True
RO000060,2,P-1021,RELAY-80,relay,1,113.56,113.56,6,False
RO000061,1,P-1011,PUMP-41,pump,1,157.52,157.52,5,True
RO000061,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000062,1,P-1027,DRIVE_CHAIN-71,drive_chain,1,60.06,60.06,8,True
RO000062,2,P-1029,TENSIONER-17,tensioner,1,55.83,55.83,4,False
RO000062,3,P-1031,CHAIN_LUBE-96,chain_lube,1,65.65,65.65,5,False
RO000063,1,P-1008,PRESSURE_VALVE-99,pressure_valve,1,37.48,37.48,3,True
RO000063,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000064,1,P-1019,FUSE-98,fuse,2,89.48,178.96,1,True
RO000064,2,P-1022,RELAY-52,relay,1,77.32,77.32,4,False
RO000065,1,P-1001,COOLANT_PUMP-91,coolant_pump,1,101.85,101.85,5,True
RO000065,2,P-1002,COOLANT_FILTER-23,coolant_filter,2,109.01,218.02,12,False
RO000066,1,P-1005,FAN-54,fan,1,65.94,65.94,8,True
RO000066,2,P-1006,THERMOSTAT-56,thermostat,1,66.12,66.12,4,False
RO000067,1,P-1019,FUSE-98,fuse,1,89.48,89.48,1,True
RO000067,2,P-1022,RELAY-52,relay,1,77.32,77.32,4,False
RO000068,1,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,True
RO000068,2,P-1016,AIR_LINE-91,air_line,1,62.13,62.13,13,False
RO000069,1,P-1016,AIR_LINE-91,air_line,1,62.13,62.13,13,True
RO000069,2,P-1017,FRL_UNIT-56,frl_unit,1,80.96,80.96,1,False
RO000069,3,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,False
RO000070,1,P-1026,DRIVE_CHAIN-66,drive_chain,1,94.24,94.24,4,True
RO000070,2,P-1029,TENSIONER-17,tensioner,1,55.83,55.83,4,False
RO000070,3,P-1031,CHAIN_LUBE-96,chain_lube,1,65.65,65.65,5,False
RO000071,1,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,True
RO000071,2,P-1016,AIR_LINE-91,air_line,1,62.13,62.13,13,False
RO000072,1,P-1016,AIR_LINE-91,air_line,2,62.13,124.26,13,True
RO000072,2,P-1017,FRL_UNIT-56,frl_unit,1,80.96,80.96,1,False
RO000072,3,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,False
RO000073,1,P-1001,COOLANT_PUMP-91,coolant_pump,2,101.85,203.7,5,True
RO000073,2,P-1003,COOLANT_FILTER-81,coolant_filter,1,73.31,73.31,5,False
RO000074,1,P-1016,AIR_LINE-91,air_line,2,62.13,124.26,13,True
RO000074,2,P-1017,FRL_UNIT-56,frl_unit,1,80.96,80.96,1,False
RO000074,3,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,False
RO000075,1,P-1008,PRESSURE_VALVE-99,pressure_valve,1,37.48,37.48,3,True
RO000075,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000076,1,P-1001,COOLANT_PUMP-91,coolant_pump,1,101.85,101.85,5,True
RO000076,2,P-1002,COOLANT_FILTER-23,coolant_filter,2,109.01,218.02,12,False
RO000077,1,P-1030,BELT-30,belt,1,94.54,94.54,9,True
RO000077,2,P-1028,IDLER_ROLLER-43,idler_roller,1,129.53,129.53,9,False
RO000077,3,P-1031,CHAIN_LUBE-96,chain_lube,1,65.65,65.65,5,False
RO000078,1,P-1001,COOLANT_PUMP-91,coolant_pump,1,101.85,101.85,5,True
RO000078,2,P-1005,FAN-54,fan,1,65.94,65.94,8,False
RO000078,3,P-1002,COOLANT_FILTER-23,coolant_filter,1,109.01,109.01,12,False
RO000079,1,P-1011,PUMP-41,pump,1,157.52,157.52,5,True
RO000079,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000079,3,P-1008,PRESSURE_VALVE-99,pressure_valve,1,37.48,37.48,3,False
RO000080,1,P-1008,PRESSURE_VALVE-99,pressure_valve,1,37.48,37.48,3,True
RO000080,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000081,1,P-1021,RELAY-80,relay,1,113.56,113.56,6,True
RO000081,2,P-1023,CONTACTOR-26,contactor,1,41.87,41.87,3,False
RO000082,1,P-1016,AIR_LINE-91,air_line,1,62.13,62.13,13,True
RO000082,2,P-1017,FRL_UNIT-56,frl_unit,1,80.96,80.96,1,False
RO000082,3,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,False
RO000083,1,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,True
RO000083,2,P-1016,AIR_LINE-91,air_line,1,62.13,62.13,13,False
RO000084,1,P-1017,FRL_UNIT-56,frl_unit,1,80.96,80.96,1,True
RO000084,2,P-1018,AIR_REGULATOR-18,air_regulator,1,117.94,117.94,1,False
RO000085,1,P-1008,PRESSURE_VALVE-99,pressure_valve,1,37.48,37.48,3,True
RO000085,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000086,1,P-1011,PUMP-41,pump,1,157.52,157.52,5,True
RO000086,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000086,3,P-1008,PRESSURE_VALVE-99,pressure_valve,1,37.48,37.48,3,False
RO000087,1,P-1022,RELAY-52,relay,2,77.32,154.64,4,True
RO000087,2,P-1023,CONTACTOR-26,contactor,1,41.87,41.87,3,False
RO000088,1,P-1001,COOLANT_PUMP-91,coolant_pump,1,101.85,101.85,5,True
RO000088,2,P-1003,COOLANT_FILTER-81,coolant_filter,1,73.31,73.31,5,False
RO000089,1,P-1017,FRL_UNIT-56,frl_unit,1,80.96,80.96,1,True
RO000089,2,P-1018,AIR_REGULATOR-18,air_regulator,1,117.94,117.94,1,False
RO000090,1,P-1026,DRIVE_CHAIN-66,drive_chain,1,94.24,94.24,4,True
RO000090,2,P-1028,IDLER_ROLLER-43,idler_roller,1,129.53,129.53,9,False
RO000091,1,P-1027,DRIVE_CHAIN-71,drive_chain,1,60.06,60.06,8,True
RO000091,2,P-1028,IDLER_ROLLER-43,idler_roller,1,129.53,129.53,9,False
RO000092,1,P-1008,PRESSURE_VALVE-99,pressure_valve,1,37.48,37.48,3,True
RO000092,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000093,1,P-1009,HYDRAULIC_HOSE-38,hydraulic_hose,1,51.64,51.64,7,True
RO000093,2,P-1012,SEAL_KIT-16,seal_kit,2,83.96,167.92,1,False
RO000094,1,P-1011,PUMP-41,pump,1,157.52,157.52,5,True
RO000094,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000095,1,P-1008,PRESSURE_VALVE-99,pressure_valve,1,37.48,37.48,3,True
RO000095,2,P-1007,FLUID_FILTER-58,fluid_filter,2,90.82,181.64,1,False
RO000096,1,P-1019,FUSE-98,fuse,1,89.48,89.48,1,True
RO000096,2,P-1022,RELAY-52,relay,1,77.32,77.32,4,False
RO000097,1,P-1020,FUSE-67,fuse,2,44.8,89.6,6,True
RO000097,2,P-1022,RELAY-52,relay,1,77.32,77.32,4,False
RO000098,1,P-1020,FUSE-67,fuse,1,44.8,44.8,6,True
RO000098,2,P-1021,RELAY-80,relay,1,113.56,113.56,6,False
RO000099,1,P-1001,COOLANT_PUMP-91,coolant_pump,1,101.85,101.85,5,True
RO000099,2,P-1005,FAN-54,fan,1,65.94,65.94,8,False
RO000099,3,P-1003,COOLANT_FILTER-81,coolant_filter,1,73.31,73.31,5,False
RO000100,1,P-1017,FRL_UNIT-56,frl_unit,1,80.96,80.96,1,True
RO000100,2,P-1018,AIR_REGULATOR-18,air_regulator,1,117.94,117.94,1,False
RO000101,1,P-1008,PRESSURE_VALVE-99,pressure_valve,2,37.48,74.96,3,True
RO000101,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000101,3,P-1011,PUMP-41,pump,1,157.52,157.52,5,False
RO000102,1,P-1025,WIRING_HARNESS-78,wiring_harness,1,95.07,95.07,1,True
RO000102,2,P-1021,RELAY-80,relay,1,113.56,113.56,6,False
RO000102,3,P-1023,CONTACTOR-26,contactor,1,41.87,41.87,3,False
RO000103,1,P-1024,SENSOR_PROX-69,sensor_prox,1,66.2,66.2,10,True
RO000103,2,P-1021,RELAY-80,relay,1,113.56,113.56,6,False
RO000104,1,P-1001,COOLANT_PUMP-91,coolant_pump,2,101.85,203.7,5,True
RO000104,2,P-1002,COOLANT_FILTER-23,coolant_filter,1,109.01,109.01,12,False
RO000105,1,P-1027,DRIVE_CHAIN-71,drive_chain,1,60.06,60.06,8,True
RO000105,2,P-1028,IDLER_ROLLER-43,idler_roller,1,129.53,129.53,9,False
RO000106,1,P-1005,FAN-54,fan,2,65.94,131.88,8,True
RO000106,2,P-1006,THERMOSTAT-56,thermostat,1,66.12,66.12,4,False
RO000107,1,P-1001,COOLANT_PUMP-91,coolant_pump,1,101.85,101.85,5,True
RO000107,2,P-1005,FAN-54,fan,2,65.94,131.88,8,False
RO000107,3,P-1003,COOLANT_FILTER-81,coolant_filter,1,73.31,73.31,5,False
RO000107,4,P-1004,RADIATOR_CORE-30,radiator_core,1,165.78,165.78,9,False
RO000108,1,P-1020,FUSE-67,fuse,1,44.8,44.8,6,True
RO000108,2,P-1021,RELAY-80,relay,1,113.56,113.56,6,False
RO000109,1,P-1009,HYDRAULIC_HOSE-38,hydraulic_hose,1,51.64,51.64,7,True
RO000109,2,P-1012,SEAL_KIT-16,seal_kit,1,83.96,83.96,1,False
RO000110,1,P-1020,FUSE-67,fuse,1,44.8,44.8,6,True
RO000110,2,P-1022,RELAY-52,relay,1,77.32,77.32,4,False
RO000111,1,P-1025,WIRING_HARNESS-78,wiring_harness,1,95.07,95.07,1,True
RO000111,2,P-1022,RELAY-52,relay,1,77.32,77.32,4,False
RO000112,1,P-1005,FAN-54,fan,1,65.94,65.94,8,True
RO000112,2,P-1006,THERMOSTAT-56,thermostat,1,66.12,66.12,4,False
RO000113,1,P-1017,FRL_UNIT-56,frl_unit,1,80.96,80.96,1,True
RO000113,2,P-1018,AIR_REGULATOR-18,air_regulator,2,117.94,235.88,1,False
RO000114,1,P-1009,HYDRAULIC_HOSE-38,hydraulic_hose,1,51.64,51.64,7,True
RO000114,2,P-1012,SEAL_KIT-16,seal_kit,1,83.96,83.96,1,False
RO000115,1,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,True
RO000115,2,P-1016,AIR_LINE-91,air_line,1,62.13,62.13,13,False
RO000116,1,P-1005,FAN-54,fan,1,65.94,65.94,8,True
RO000116,2,P-1006,THERMOSTAT-56,thermostat,1,66.12,66.12,4,False
RO000117,1,P-1010,HYDRAULIC_HOSE_REVB-50,hydraulic_hose_revb,1,54.13,54.13,1,True
RO000117,2,P-1014,SEAL_KIT_PLUS-42,seal_kit_plus,1,48.52,48.52,7,False
RO000118,1,P-1004,RADIATOR_CORE-30,radiator_core,1,165.78,165.78,9,True
RO000118,2,P-1002,COOLANT_FILTER-23,coolant_filter,1,109.01,109.01,12,False
RO000119,1,P-1019,FUSE-98,fuse,1,89.48,89.48,1,True
RO000119,2,P-1022,RELAY-52,relay,1,77.32,77.32,4,False
RO000120,1,P-1004,RADIATOR_CORE-30,radiator_core,1,165.78,165.78,9,True
RO000120,2,P-1002,COOLANT_FILTER-23,coolant_filter,1,109.01,109.01,12,False
RO000121,1,P-1030,BELT-30,belt,1,94.54,94.54,9,True
RO000121,2,P-1028,IDLER_ROLLER-43,idler_roller,1,129.53,129.53,9,False
RO000121,3,P-1031,CHAIN_LUBE-96,chain_lube,1,65.65,65.65,5,False
RO000122,1,P-1017,FRL_UNIT-56,frl_unit,1,80.96,80.96,1,True
RO000122,2,P-1018,AIR_REGULATOR-18,air_regulator,1,117.94,117.94,1,False
RO000123,1,P-1005,FAN-54,fan,2,65.94,131.88,8,True
RO000123,2,P-1006,THERMOSTAT-56,thermostat,1,66.12,66.12,4,False
RO000124,1,P-1024,SENSOR_PROX-69,sensor_prox,1,66.2,66.2,10,True
RO000124,2,P-1021,RELAY-80,relay,1,113.56,113.56,6,False
RO000125,1,P-1008,PRESSURE_VALVE-99,pressure_valve,2,37.48,74.96,3,True
RO000125,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000126,1,P-1009,HYDRAULIC_HOSE-38,hydraulic_hose,1,51.64,51.64,7,True
RO000126,2,P-1012,SEAL_KIT-16,seal_kit,1,83.96,83.96,1,False
RO000127,1,P-1011,PUMP-41,pump,1,157.52,157.52,5,True
RO000127,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000128,1,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,True
RO000128,2,P-1016,AIR_LINE-91,air_line,1,62.13,62.13,13,False
RO000129,1,P-1001,COOLANT_PUMP-91,coolant_pump,1,101.85,101.85,5,True
RO000129,2,P-1003,COOLANT_FILTER-81,coolant_filter,1,73.31,73.31,5,False
RO000130,1,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,True
RO000130,2,P-1016,AIR_LINE-91,air_line,1,62.13,62.13,13,False
RO000131,1,P-1009,HYDRAULIC_HOSE-38,hydraulic_hose,1,51.64,51.64,7,True
RO000131,2,P-1012,SEAL_KIT-16,seal_kit,1,83.96,83.96,1,False
RO000132,1,P-1026,DRIVE_CHAIN-66,drive_chain,1,94.24,94.24,4,True
RO000132,2,P-1029,TENSIONER-17,tensioner,1,55.83,55.83,4,False
RO000132,3,P-1031,CHAIN_LUBE-96,chain_lube,1,65.65,65.65,5,False
RO000133,1,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,True
RO000133,2,P-1016,AIR_LINE-91,air_line,1,62.13,62.13,13,False
RO000134,1,P-1019,FUSE-98,fuse,1,89.48,89.48,1,True
RO000134,2,P-1021,RELAY-80,relay,1,113.56,113.56,6,False
RO000135,1,P-1021,RELAY-80,relay,1,113.56,113.56,6,True
RO000135,2,P-1023,CONTACTOR-26,contactor,1,41.87,41.87,3,False
RO000135,3,P-1020,FUSE-67,fuse,1,44.8,44.8,6,False
RO000136,1,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,True
RO000136,2,P-1016,AIR_LINE-91,air_line,1,62.13,62.13,13,False
RO000137,1,P-1030,BELT-30,belt,2,94.54,189.08,9,True
RO000137,2,P-1028,IDLER_ROLLER-43,idler_roller,1,129.53,129.53,9,False
RO000137,3,P-1031,CHAIN_LUBE-96,chain_lube,1,65.65,65.65,5,False
RO000138,1,P-1030,BELT-30,belt,1,94.54,94.54,9,True
RO000138,2,P-1029,TENSIONER-17,tensioner,2,55.83,111.66,4,False
RO000139,1,P-1022,RELAY-52,relay,2,77.32,154.64,4,True
RO000139,2,P-1023,CONTACTOR-26,contactor,1,41.87,41.87,3,False
RO000140,1,P-1011,PUMP-41,pump,1,157.52,157.52,5,True
RO000140,2,P-1007,FLUID_FILTER-58,fluid_filter,1,90.82,90.82,1,False
RO000141,1,P-1016,AIR_LINE-91,air_line,1,62.13,62.13,13,True
RO000141,2,P-1017,FRL_UNIT-56,frl_unit,1,80.96,80.96,1,False
RO000141,3,P-1015,SOLENOID_VALVE-30,solenoid_valve,1,62.16,62.16,4,False
RO000142,1,P-1004,RADIATOR_CORE-30,radiator_core,1,165.78,165.78,9,True
RO000142,2,P-1003,COOLANT_FILTER-81,coolant_filter,1,73.31,73.31,5,False
RO000143,1,P-1009,HYDRAULIC_HOSE-38,hydraulic_hose,1,51.64,51.64,7,True
RO000143,2,P-1012,SEAL_KIT-16,seal_kit,1,83.96,83.96,1,False
RO000144,1,P-1030,BELT-30,belt,1,94.54,94.54,9,True
RO000144,2,P-1028,IDLER_ROLLER-43,idler_roller,1,129.53,129.53,9,False
