part_id,part_type,part_name,category,subcategory,oem,unit_cost,lead_time_days,compatible_models,is_active,usage_bucket,sampling_weight
P-1013,seal_kit,SEAL_KIT-86,mechanical,seals,ForgeLine,63.75,6,SUV-Z|TRUCK-T1|VAN-C,True,tail,0.00042
P-1014,seal_kit_plus,SEAL_KIT_PLUS-42,mechanical,seals,HydraCore,48.52,7,COUPE-R|SEDAN-A|SEDAN-B|SUV-X|SUV-Z|TRUCK-T2|VAN-C,True,head,0.0042
P-1015,solenoid_valve,SOLENOID_VALVE-30,pneumatic,valves,VectorMech,62.16,4,SEDAN-A|SEDAN-B|SUV-X|TRUCK-T1|TRUCK-T2|VAN-C,True,tail,0.00042
P-1016,air_line,AIR_LINE-91,pneumatic,hoses,OmniDrive,62.13,13,SEDAN-A|SEDAN-B|SUV-X|SUV-Z|TRUCK-T1|TRUCK-T2|VAN-C,True,head,0.0042
P-1017,frl_unit,FRL_UNIT-56,pneumatic,conditioning,HydraCore,80.96,1,SEDAN-A|SEDAN-B|SUV-Z|TRUCK-T1|VAN-C,True,head,0.0042
P-1018,air_regulator,AIR_REGULATOR-18,pneumatic,regulators,ForgeLine,117.94,1,COUPE-R|SEDAN-B|SUV-X|SUV-Z|TRUCK-T1|TRUCK-T2|VAN-C,True,tail,0.00042
P-1019,fuse,FUSE-98,electrical,protection,ForgeLine,89.48,1,SUV-X|SUV-Z|TRUCK-T1|TRUCK-T2,True,head,0.0042
P-1020,fuse,FUSE-67,electrical,protection,ForgeLine,44.8,6,SEDAN-A|SEDAN-B|SUV-Z,True,head,0.0042
P-1021,relay,RELAY-80,electrical,switchgear,OmniDrive,113.56,6,SEDAN-A|SUV-Z|TRUCK-T2|VAN-C,True,head,0.0042
P-1022,relay,RELAY-52,electrical,switchgear,ForgeLine,77.32,4,SUV-X|SUV-Z|TRUCK-T2,True,head,0.0042
P-1023,contactor,CONTACTOR-26,electrical,switchgear,HydraCore,41.87,3,COUPE-R|SEDAN-A|SEDAN-B|SUV-X|SUV-Z|TRUCK-T1|TRUCK-T2|VAN-C,True,head,0.0042
P-1024,sensor_prox,SENSOR_PROX-69,electrical,sensors,AtlasMotion,66.2,10,COUPE-R|SEDAN-A|SEDAN-B|SUV-X|SUV-Z|TRUCK-T1|TRUCK-T2|VAN-C,True,head,0.0042
P-1025,wiring_harness,WIRING_HARNESS-78,electrical,cabling,OmniDrive,95.07,1,COUPE-R|SEDAN-A|SEDAN-B|SUV-X|SUV-Z|VAN-C,True,mid,0.00148
P-1026,drive_chain,DRIVE_CHAIN-66,drivetrain,chains,HydraCore,94.24,4,SEDAN-A|SEDAN-B|SUV-X|SUV-Z|TRUCK-T1|TRUCK-T2|VAN-C,True,head,0.0042
P-1027,drive_chain,DRIVE_CHAIN-71,drivetrain,chains,HydraCore,60.06,8,SEDAN-A|SEDAN-B|SUV-Z|VAN-C,True,head,0.0042
P-1028,idler_roller,IDLER_ROLLER-43,mechanical,rollers,AtlasMotion,129.53,9,COUPE-R|SEDAN-A|SUV-Z|TRUCK-T1|TRUCK-T2|VAN-C,True,head,0.0042
P-1029,tensioner,TENSIONER-17,mechanical,tensioners,ForgeLine,55.83,4,COUPE-R|SEDAN-A|SEDAN-B|SUV-X|TRUCK-T1|TRUCK-T2|VAN-C,True,head,0.0042
P-1030,belt,BELT-30,mechanical,belts,OmniDrive,94.54,9,COUPE-R|SEDAN-B|VAN-C,True,head,0.0042
P-1031,chain_lube,CHAIN_LUBE-96,consumable,lubricants,OmniDrive,65.65,5,SEDAN-A|SEDAN-B|TRUCK-T1|VAN-C,True,head,0.0042
P-1032,bearing_set,BEARING_SET-89,mechanical,bearings,VectorMech,49.51,1,TRUCK-T1|TRUCK-T2|VAN-C,True,head,0.0042
P-1033,shaft_seal,SHAFT_SEAL-43,mechanical,seals,VectorMech,117.41,11,SEDAN-B|SUV-X|SUV-Z|TRUCK-T2,True,head,0.0042
P-1034,high_temp_grease,HIGH_TEMP_GREASE-68,consumable,lubricants,AtlasMotion,78.85,10,SEDAN-A|SEDAN-B|SUV-Z|TRUCK-T1|VAN-C,True,head,0.0042
P-1035,spindle_motor,SPINDLE_MOTOR-74,electromechanical,motors,HydraCore,95.85,3,COUPE-R|SEDAN-A|SEDAN-B|SUV-X|VAN-C,True,head,0.0042
