ro_id,machine_model,machine_age_years,operating_hours,symptom_text,failure_code,subsystem,environment,technician_notes,downtime_hours,estimated_total_parts_cost,created_at
RO000023,TRUCK-T1,3.8,12423,Intake actuator delayed,FC-PNE-07,pneumatic_intake,dusty,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,7.13,124.29,2024-05-23 12:35:31
RO000024,COUPE-R,2.2,16819,Brake pressure drop,FC-HYD-04,hydraulic_brake,normal,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,8.11,135.6,2026-03-09 13:38:54
RO000025,SUV-Z,0.9,16477,Intermittent electrical fault,FC-ELC-22,electrical_power,high_temp,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,6.02,119.19,2023-02-01 15:49:19
RO000026,SUV-X,9.2,5104,Unexpected power cut,FC-ELC-22,electrical_power,city_stopgo,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,2.86,172.39,2025-08-01 07:49:38
RO000027,VAN-C,8.3,17375,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,dusty,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,6.0,128.3,2026-01-15 17:40:49
RO000028,SEDAN-A,7.7,9559,Intermittent electrical fault,FC-ELC-22,electrical_power,high_humidity,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,5.96,158.36,2025-04-07 14:10:56
RO000029,COUPE-R,7.5,9285,Radiator efficiency low,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,9.23,239.09,2023-08-26 15:55:24
RO000030,SUV-Z,8.2,5469,Air regulation unstable,FC-PNE-07,pneumatic_intake,normal,Observed: Air regulation unstable. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,6.81,286.21,2024-03-09 07:11:55
RO000031,TRUCK-T2,3.1,21296,Radiator efficiency low,FC-CLG-11,engine_cooling,high_humidity,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,7.82,132.06,2025-07-15 02:16:10
RO000032,COUPE-R,3.6,22707,Intake actuator delayed,FC-PNE-07,pneumatic_intake,highway_longhaul,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,6.33,198.9,2026-01-10 19:24:30
RO000033,TRUCK-T2,9.4,30174,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,dusty,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,5.01,115.39,2025-05-09 18:58:02
RO000034,SUV-Z,3.9,7883,Brake pressure drop,FC-HYD-04,hydraulic_brake,high_humidity,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,3.87,248.34,2023-07-05 17:19:25
RO000035,TRUCK-T1,6.2,17729,Control unit reset observed,FC-ELC-22,electrical_power,normal,Observed: Control unit reset observed. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,6.05,158.36,2023-10-29 13:13:40
RO000036,TRUCK-T1,9.4,15104,Coolant temperature high,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,8.41,274.79,2023-07-16 04:02:26
RO000037,SEDAN-A,5.6,36761,Intake actuator delayed,FC-PNE-07,pneumatic_intake,high_humidity,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,6.75,323.19,2025-01-12 03:02:06
RO000038,SUV-Z,3.5,6432,Pneumatic valve not switching,FC-PNE-07,pneumatic_intake,city_stopgo,Observed: Pneumatic valve not switching. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,6.46,198.9,2024-08-13 21:31:14
RO000039,SUV-Z,5.7,20712,Belt slipping,FC-ACC-09,conveyor_like_accessory,highway_longhaul,Observed: Belt slipping. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,6.45,224.07,2023-11-24 19:35:22
RO000040,SEDAN-A,6.2,8225,Air regulation unstable,FC-PNE-07,pneumatic_intake,high_temp,Observed: Air regulation unstable. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,2.47,267.38,2024-03-23 13:19:43
RO000041,VAN-C,4.9,21851,Intermittent electrical fault,FC-ELC-22,electrical_power,normal,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,5.93,269.24,2025-04-25 22:45:25
RO000042,SEDAN-B,2.1,16385,Accessory drive noise,FC-ACC-09,conveyor_like_accessory,dusty,Observed: Accessory drive noise. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,6.27,224.07,2025-12-05 19:46:35
RO000043,TRUCK-T2,3.4,16229,Driveline vibration under load,FC-DRV-19,drivetrain,city_stopgo,Observed: Driveline vibration under load. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,5.62,223.77,2024-01-24 22:23:31
RO000044,COUPE-R,2.5,17862,Coolant leak suspected,FC-CLG-11,engine_cooling,high_humidity,Observed: Coolant leak suspected. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,6.62,241.1,2023-10-09 22:24:20
RO000045,VAN-C,10.3,23430,Torque transfer delay,FC-DRV-19,drivetrain,highway_longhaul,Observed: Torque transfer delay. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,2.74,223.77,2025-02-08 16:25:26
RO000046,SEDAN-A,3.2,19120,Radiator efficiency low,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,6.53,274.79,2025-04-22 21:21:19
RO000047,COUPE-R,8.3,45821,Accessory drive noise,FC-ACC-09,conveyor_like_accessory,normal,Observed: Accessory drive noise. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,6.64,289.72,2023-02-14 20:19:50
RO000048,COUPE-R,10.5,22632,Belt slipping,FC-ACC-09,conveyor_like_accessory,normal,Observed: Belt slipping. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,6.8,419.25,2025-10-03 04:22:02
RO000049,SUV-Z,5.4,21071,Air regulation unstable,FC-PNE-07,pneumatic_intake,city_stopgo,Observed: Air regulation unstable. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,3.95,205.25,2025-02-28 12:35:37
RO000050,COUPE-R,5.7,11117,Pneumatic valve not switching,FC-PNE-07,pneumatic_intake,high_temp,Observed: Pneumatic valve not switching. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,5.66,397.8,2024-11-24 16:29:36
RO000051,VAN-C,14.6,100,Belt slipping,FC-ACC-09,conveyor_like_accessory,high_temp,Observed: Belt slipping. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,6.87,150.37,2026-04-19 18:23:37
RO000052,COUPE-R,0.9,11224,Drive transfer slip,FC-DRV-19,drivetrain,normal,Observed: Drive transfer slip. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,7.68,241.19,2023-07-16 02:48:07
RO000053,VAN-C,6.7,6378,Coolant temperature high,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,4.07,175.16,2023-08-28 19:00:12
RO000054,VAN-C,8.9,9157,Radiator efficiency low,FC-CLG-11,engine_cooling,high_humidity,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,5.93,132.06,2025-08-31 16:46:01
RO000055,SEDAN-B,6.7,9787,Brake pressure drop,FC-HYD-04,hydraulic_brake,dusty,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,9.79,248.34,2023-06-02 22:13:32
RO000056,SEDAN-A,8.7,100,Radiator efficiency low,FC-CLG-11,engine_cooling,high_humidity,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,5.87,544.43,2024-07-10 20:28:55
RO000057,COUPE-R,4.2,21819,Air regulation unstable,FC-PNE-07,pneumatic_intake,high_humidity,Observed: Air regulation unstable. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,3.91,186.42,2025-11-01 21:37:26
RO000058,VAN-C,6.1,19039,Accessory drive noise,FC-ACC-09,conveyor_like_accessory,highway_longhaul,Observed: Accessory drive noise. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,7.23,150.37,2024-01-24 12:20:15
RO000059,TRUCK-T1,2.3,12323,Brake pedal spongy,FC-HYD-04,hydraulic_brake,normal,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,4.55,135.6,2025-10-19 12:35:10
RO000060,TRUCK-T1,4.2,29123,Control unit reset observed,FC-ELC-22,electrical_power,highway_longhaul,Observed: Control unit reset observed. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,6.31,245.96,2026-03-19 17:57:51
RO000061,SEDAN-A,2.1,22342,Brake pedal spongy,FC-HYD-04,hydraulic_brake,city_stopgo,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,9.74,248.34,2024-07-20 19:00:45
RO000062,TRUCK-T1,10.1,2845,Torque transfer delay,FC-DRV-19,drivetrain,high_temp,Observed: Torque transfer delay. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,4.53,181.54,2024-02-04 04:32:20
RO000063,VAN-C,10.9,9338,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,city_stopgo,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,6.39,128.3,2024-07-22 05:04:56
RO000064,VAN-C,9.2,7584,Control unit reset observed,FC-ELC-22,electrical_power,highway_longhaul,Observed: Control unit reset observed. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,5.38,256.28,2024-07-31 01:32:28
RO000065,TRUCK-T1,0.2,6804,Radiator efficiency low,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,4.99,319.87,2024-09-26 06:22:22
RO000066,TRUCK-T2,2.1,28059,Radiator efficiency low,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,2.64,132.06,2026-02-28 10:16:18
RO000067,SEDAN-A,5.0,16045,Unexpected power cut,FC-ELC-22,electrical_power,highway_longhaul,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,8.38,166.8,2024-07-29 14:21:29
RO000068,TRUCK-T2,1.5,24305,Pneumatic valve not switching,FC-PNE-07,pneumatic_intake,normal,Observed: Pneumatic valve not switching. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,5.52,124.29,2024-09-10 11:43:18
RO000069,SEDAN-A,3.1,18696,Intake actuator delayed,FC-PNE-07,pneumatic_intake,high_humidity,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,5.9,205.25,2024-01-14 08:54:23
RO000070,SEDAN-A,4.4,15558,Driveline vibration under load,FC-DRV-19,drivetrain,high_humidity,Observed: Driveline vibration under load. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,4.73,215.72,2023-08-13 18:21:31
RO000071,SUV-X,6.9,20297,Intake actuator delayed,FC-PNE-07,pneumatic_intake,high_humidity,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,8.67,124.29,2023-03-23 09:34:37
RO000072,COUPE-R,2.2,32064,Intake actuator delayed,FC-PNE-07,pneumatic_intake,city_stopgo,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,1.6,267.38,2023-12-11 03:58:24
RO000073,COUPE-R,6.0,19706,Coolant leak suspected,FC-CLG-11,engine_cooling,normal,Observed: Coolant leak suspected. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,6.06,277.01,2023-05-06 12:05:14
RO000074,VAN-C,4.3,13335,Pneumatic valve not switching,FC-PNE-07,pneumatic_intake,normal,Observed: Pneumatic valve not switching. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,4.51,267.38,2026-05-17 00:45:55
RO000075,SEDAN-B,4.4,21796,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,high_humidity,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,6.21,128.3,2024-10-24 22:54:55
RO000076,TRUCK-T2,4.1,22196,Coolant temperature high,FC-CLG-11,engine_cooling,high_temp,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,6.11,319.87,2025-05-14 07:00:16
RO000077,SEDAN-A,9.3,20037,Accessory drive noise,FC-ACC-09,conveyor_like_accessory,high_humidity,Observed: Accessory drive noise. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,3.84,289.72,2025-07-21 16:54:38
RO000078,SUV-Z,4.5,20978,Radiator efficiency low,FC-CLG-11,engine_cooling,dusty,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,6.72,276.8,2025-05-21 10:19:01
RO000079,SUV-X,6.4,15938,Brake pressure drop,FC-HYD-04,hydraulic_brake,high_temp,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,8.06,285.82,2025-05-29 17:58:50
RO000080,SEDAN-B,4.4,19376,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,normal,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,5.1,128.3,2023-08-30 16:26:21
RO000081,TRUCK-T1,5.7,23790,Unexpected power cut,FC-ELC-22,electrical_power,high_temp,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,7.15,155.43,2026-03-18 18:19:13
RO000082,SEDAN-A,9.3,25443,Air regulation unstable,FC-PNE-07,pneumatic_intake,high_temp,Observed: Air regulation unstable. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,5.54,205.25,2024-09-06 00:29:14
RO000083,VAN-C,8.9,12517,Intake actuator delayed,FC-PNE-07,pneumatic_intake,city_stopgo,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,6.15,124.29,2025-12-29 02:45:58
RO000084,SEDAN-B,6.0,15775,Air regulation unstable,FC-PNE-07,pneumatic_intake,high_humidity,Observed: Air regulation unstable. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,6.69,198.9,2025-06-13 09:51:26
RO000085,COUPE-R,3.6,31739,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,highway_longhaul,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,3.49,128.3,2024-07-16 02:50:46
RO000086,TRUCK-T2,2.3,24264,Brake pedal spongy,FC-HYD-04,hydraulic_brake,high_temp,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,7.08,285.82,2024-06-01 09:41:53
RO000087,SEDAN-B,8.7,20026,Control unit reset observed,FC-ELC-22,electrical_power,high_temp,Observed: Control unit reset observed. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,5.48,196.51,2026-04-15 13:51:54
RO000088,COUPE-R,3.4,15606,Coolant temperature high,FC-CLG-11,engine_cooling,dusty,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,4.15,175.16,2025-09-07 19:44:36
RO000089,TRUCK-T2,9.9,13823,Intake actuator delayed,FC-PNE-07,pneumatic_intake,high_humidity,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,3.85,198.9,2023-04-30 04:44:20
RO000090,COUPE-R,5.4,18303,Drive transfer slip,FC-DRV-19,drivetrain,city_stopgo,Observed: Drive transfer slip. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,4.37,223.77,2025-10-09 14:15:42
RO000091,SEDAN-B,3.6,16949,Driveline vibration under load,FC-DRV-19,drivetrain,city_stopgo,Observed: Driveline vibration under load. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,5.99,189.59,2025-09-30 17:21:50
RO000092,VAN-C,4.7,11231,Brake pedal spongy,FC-HYD-04,hydraulic_brake,dusty,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,5.96,128.3,2026-04-18 02:08:24
RO000093,SUV-X,1.4,3740,Brake pedal spongy,FC-HYD-04,hydraulic_brake,high_humidity,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,4.06,219.56,2023-05-07 14:36:51
RO000094,TRUCK-T2,5.8,17487,Brake pedal spongy,FC-HYD-04,hydraulic_brake,high_temp,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,8.45,248.34,2025-11-06 23:45:00
RO000095,TRUCK-T2,9.5,13720,Brake pressure drop,FC-HYD-04,hydraulic_brake,dusty,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,5.46,219.12,2023-10-26 06:28:26
RO000096,VAN-C,3.0,14851,Control unit reset observed,FC-ELC-22,electrical_power,high_temp,Observed: Control unit reset observed. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,4.92,166.8,2023-09-10 01:00:52
RO000097,TRUCK-T1,7.6,8382,Unexpected power cut,FC-ELC-22,electrical_power,highway_longhaul,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,6.54,166.92,2026-05-02 14:11:43
RO000098,COUPE-R,11.9,14129,Control unit reset observed,FC-ELC-22,electrical_power,dusty,Observed: Control unit reset observed. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,6.3,158.36,2026-04-10 06:44:54
RO000099,SEDAN-A,8.9,11790,Radiator efficiency low,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,5.95,241.1,2025-01-16 13:43:05
RO000100,SEDAN-B,6.5,15781,Air regulation unstable,FC-PNE-07,pneumatic_intake,high_temp,Observed: Air regulation unstable. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,3.95,198.9,2026-06-22 16:54:15
RO000101,TRUCK-T2,6.6,18983,Brake pressure drop,FC-HYD-04,hydraulic_brake,high_temp,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,8.4,323.3,2023-02-13 18:54:28
RO000102,COUPE-R,9.9,32225,Unexpected power cut,FC-ELC-22,electrical_power,city_stopgo,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,3.97,250.5,2023-01-09 03:46:43
RO000103,COUPE-R,9.6,16466,Control unit reset observed,FC-ELC-22,electrical_power,normal,Observed: Control unit reset observed. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,9.88,179.76,2023-06-22 05:04:54
RO000104,SUV-Z,3.7,8282,Radiator efficiency low,FC-CLG-11,engine_cooling,city_stopgo,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,4.3,312.71,2024-10-09 02:45:56
RO000105,SEDAN-A,0.2,10793,Driveline vibration under load,FC-DRV-19,drivetrain,dusty,Observed: Driveline vibration under load. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,3.98,189.59,2024-12-31 07:54:22
RO000106,SEDAN-B,7.0,17734,Coolant temperature high,FC-CLG-11,engine_cooling,city_stopgo,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,9.25,198.0,2026-02-16 01:45:26
RO000107,SEDAN-B,9.8,10384,Coolant temperature high,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,3.7,472.82,2026-04-20 18:28:31
RO000108,TRUCK-T1,8.2,4438,Intermittent electrical fault,FC-ELC-22,electrical_power,high_humidity,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,9.16,158.36,2026-04-27 23:53:01
RO000109,VAN-C,10.6,11246,Brake pedal spongy,FC-HYD-04,hydraulic_brake,high_humidity,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,2.07,135.6,2023-10-18 05:03:02
RO000110,TRUCK-T1,11.2,14083,Intermittent electrical fault,FC-ELC-22,electrical_power,high_humidity,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,7.98,122.12,2023-06-09 09:07:38
RO000111,COUPE-R,0.9,10204,Unexpected power cut,FC-ELC-22,electrical_power,normal,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,5.51,172.39,2026-02-03 01:36:16
RO000112,VAN-C,6.7,11399,Coolant leak suspected,FC-CLG-11,engine_cooling,high_humidity,Observed: Coolant leak suspected. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,6.75,132.06,2025-03-08 01:13:59
RO000113,SEDAN-B,2.8,13860,Intake actuator delayed,FC-PNE-07,pneumatic_intake,high_temp,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,5.74,316.84,2026-04-24 09:09:24
RO000114,SUV-X,8.3,20692,Brake pressure drop,FC-HYD-04,hydraulic_brake,city_stopgo,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,3.25,135.6,2024-07-24 00:53:08
RO000115,SEDAN-B,1.1,25221,Pneumatic valve not switching,FC-PNE-07,pneumatic_intake,high_humidity,Observed: Pneumatic valve not switching. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,6.16,124.29,2026-04-18 20:46:12
RO000116,COUPE-R,3.9,27409,Coolant temperature high,FC-CLG-11,engine_cooling,normal,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,5.73,132.06,2026-06-13 02:07:22
