ro_id,machine_model,machine_age_years,operating_hours,symptom_text,failure_code,subsystem,environment,technician_notes,downtime_hours,estimated_total_parts_cost,created_at,label_all_part_ids,label_all_part_types,split
RO000011,HYD-Press-880,4.8,11876,Hydraulic force below setpoint,FC-HYD-04,hydraulic,high_temp,Observed: Hydraulic force below setpoint. Inspected hydraulic subsystem. Replaced primary component and verified normal operation.,7.98,589.9,2026-01-12T03:48:24,P-1002|P-1007,fluid_filter|pressure_valve,val
RO000012,CNC-5100,7.7,16321,Control cabinet overheating trip,FC-ELC-22,electrical,dusty,Observed: Control cabinet overheating trip. Inspected electrical subsystem. Replaced primary component and verified normal operation.,5.11,405.95,2023-12-27T14:57:20,P-1245|P-1309|P-1343,fuse|high_temp_grease|relay,train
RO000013,MILL-3AX,3.7,6031,Thermal trip during long cycle,FC-SPN-17,spindle,24x7_duty,Observed: Thermal trip during long cycle. Inspected spindle subsystem. Replaced primary component and verified normal operation.,8.15,320.28,2026-05-24T17:39:12,P-1181|P-1221|P-1242,high_temp_grease|shaft_seal|spindle_motor,test
RO000014,HYD-Press-880,9.6,21756,Hydraulic pressure drops after 20 min,FC-HYD-04,hydraulic,high_temp,Observed: Hydraulic pressure drops after 20 min. Inspected hydraulic subsystem. Replaced primary component and verified normal operation.,8.59,455.32,2023-05-20T05:13:57,P-1034|P-1175|P-1312|P-1316,fluid_filter|fuse|hydraulic_hose|pump,train
RO000015,CONV-X200,8.5,21797,Line speed not maintained,FC-CON-09,conveyor,high_humidity,Observed: Line speed not maintained. Inspected conveyor subsystem. Replaced primary component and verified normal operation.,7.9,54.45,2023-09-21T07:28:59,P-1008|P-1068,chain_lube|idler_roller,train
RO000016,HYD-Press-940,2.0,3645,Pressure unstable during press cycle,FC-HYD-04,hydraulic,dusty,Observed: Pressure unstable during press cycle. Inspected hydraulic subsystem. Replaced primary component and verified normal operation.,5.94,482.54,2024-09-06T16:27:58,P-1094|P-1110,fluid_filter|seal_kit,train
RO000017,PACK-900,11.9,21713,Intermittent conveyor jerk,FC-CON-09,conveyor,high_temp,Observed: Intermittent conveyor jerk. Inspected conveyor subsystem. Replaced primary component and verified normal operation.,5.58,350.11,2025-06-13T14:20:08,P-1112|P-1183,drive_chain|idler_roller,train
RO000018,HYD-Press-940,6.2,16588,Pressure unstable during press cycle,FC-HYD-04,hydraulic,high_temp,Observed: Pressure unstable during press cycle. Inspected hydraulic subsystem. Replaced primary component and verified normal operation.,8.82,346.99,2025-12-12T06:46:17,P-1007|P-1244,hydraulic_hose|pressure_valve,val
RO000019,MILL-5AX,8.1,14976,Thermal trip during long cycle,FC-SPN-17,spindle,high_humidity,Observed: Thermal trip during long cycle. Inspected spindle subsystem. Replaced primary component and verified normal operation.,5.33,39.49,2025-04-24T12:33:44,P-1032|P-1335,bearing_set|high_temp_grease,train
RO000020,MILL-3AX,5.6,9932,Thermal trip during long cycle,FC-SPN-17,spindle,24x7_duty,Observed: Thermal trip during long cycle. Inspected spindle subsystem. Replaced primary component and verified normal operation.,8.39,326.69,2024-05-30T02:49:15,P-1083|P-1205,high_temp_grease|shaft_seal,train
RO000021,CNC-5100,2.6,9257,Unexpected motor stop fault,FC-ELC-22,electrical,dusty,Observed: Unexpected motor stop fault. Inspected electrical subsystem. Replaced primary component and verified normal operation.,5.26,8.0,2025-02-16T10:43:00,P-1285,fuse,train
RO000022,HYD-Press-940,5.8,13351,Hydraulic pressure drops after 20 min,FC-HYD-04,hydraulic,high_humidity,Observed: hyd pressure drops after 20 min. Inspected hyd subsystem. Replaced primary component and vrfd normal operation.,6.53,246.82,2026-02-24T07:26:56,P-1126|P-1237|P-1336,fluid_filter|hydraulic_hose,test
RO000023,HYD-Press-880,9.7,23634,Hydraulic force below setpoint,FC-HYD-04,hydraulic,24x7_duty,Observed: Hydraulic force below setpoint. Inspected hydraulic subsystem. Replaced primary component and verified normal operation.,9.09,297.77,2025-12-30T18:26:53,P-1127|P-1222,hydraulic_hose,val
RO000024,HYD-Press-880,8.4,17362,Pressure unstable during press cycle,FC-HYD-04,hydraulic,normal,Observed: Pressure unstable during press cycle. Inspected hydraulic subsystem. Replaced primary component and verified normal operation.,6.96,252.09,2024-09-01T19:06:04,P-1201|P-1209,fluid_filter|seal_kit,train
RO000025,CNC-4020,7.5,14858,Insufficient coolant flow alarm,FC-CLG-11,cooling,high_temp,Observed: Insufficient coolant flow alarm. Inspected cooling subsystem. Replaced primary component and verified normal operation.,5.06,177.6,2023-08-03T04:03:55,P-1128|P-1135,fan,train
RO000026,MILL-5AX,5.9,11882,Insufficient coolant flow alarm,FC-CLG-11,cooling,24x7_duty,Observed: Insufficient coolant flow alarm. Inspected cooling subsystem. Replaced primary component and verified normal operation.,3.62,504.56,2025-05-22T09:17:50,P-1042|P-1055|P-1296,coolant_filter|fan,train
RO000027,MILL-5AX,7.2,14435,Insufficient coolant flow alarm,FC-CLG-11,cooling,high_temp,Observed: Insufficient coolant flow alarm. Inspected cooling subsystem. rplcd primary component and vrfd normal operation.,4.51,40.83,2026-04-15T02:39:48,P-1314,thermostat,test
RO000028,MILL-3AX,10.2,23577,Intermittent sensor fault,FC-ELC-22,electrical,normal,Observed: Intermittent sensor fault. Inspected electrical subsystem. Replaced primary component and verified normal operation.,2.49,882.3,2023-02-20T01:38:10,P-1026|P-1150|P-1240,fuse|relay|sensor_prox,train
RO000029,CONV-X200,8.1,18059,Control cabinet overheating trip,FC-ELC-22,electrical,normal,Observed: Control cabinet overheating trip. Inspected electrical subsystem. Replaced primary component and verified normal operation.,5.82,300.05,2026-05-04T05:18:11,P-1105|P-1289,fuse|wiring_harness,test
RO000030,HYD-Press-880,11.1,21659,Hydraulic pressure drops after 20 min,FC-HYD-04,hydraulic,24x7_duty,Observed: Hydraulic pressure drops after 20 min. Inspected hydraulic subsystem. Replaced primary component and verified normal operation.,9.77,383.35,2023-07-30T15:07:14,P-1211|P-1327,fluid_filter|pressure_valve,train
RO000031,CNC-4020,10.8,24766,Control cabinet overheating trip,FC-ELC-22,electrical,dusty,Observed: Control cabinet overheating trip. Inspected electrical subsystem. Replaced primary component and verified normal operation.,3.04,233.0,2024-12-03T03:28:22,P-1114|P-1144,fuse|relay,train
RO000032,CNC-4020,14.2,32412,Abnormal spindle temperature alarm,FC-SPN-17,spindle,high_humidity,Observed: Abnormal spindle temperature alarm. Inspected spindle subsystem. Replaced primary component and verified normal operation.,9.72,498.51,2025-04-10T04:47:17,P-1028|P-1159|P-1286,fuse|high_temp_grease|shaft_seal,train
RO000033,HYD-Press-940,11.1,25255,Control cabinet overheating trip,FC-ELC-22,electrical,high_temp,Observed: Control cabinet overheating trip. Inspected electrical subsystem. Replaced primary component and verified normal operation.,3.0,292.83,2025-08-30T17:39:52,P-1180|P-1278,fuse|sensor_prox,train
RO000034,CNC-4020,6.9,14780,Unexpected motor stop fault,FC-ELC-22,electrical,dusty,Observed: Unexpected motor stop fault. Inspected electrical subsystem. Replaced primary component and verified normal operation.,1.52,108.44,2024-07-13T22:00:18,P-1092|P-1331,relay|wiring_harness,train
RO000035,CONV-X200,9.0,22621,Intermittent conveyor jerk,FC-CON-09,conveyor,dusty,Observed: Intermittent conv jerk. Inspected conv subsystem. rplcd primary component and verified normal operation.,4.32,146.15,2023-01-13T12:35:39,P-1287,belt,train
RO000036,CONV-X200,13.5,26896,Actuator response delayed,FC-PNE-07,pneumatic,high_temp,Observed: Actuator response delayed. Inspected pneumatic subsystem. Replaced primary component and verified normal operation.,5.93,309.12,2023-08-10T21:56:54,P-1138|P-1171|P-1277,air_line|air_regulator|frl_unit,train
RO000037,CNC-4020,12.0,26032,Thermal trip during long cycle,FC-SPN-17,spindle,high_temp,Observed: Thermal trip during long cycle. Inspected spindle subsystem. Replaced primary component and verified normal operation.,7.66,845.75,2024-03-06T06:06:09,P-1021|P-1083|P-1229,fuse|high_temp_grease|spindle_motor,train
RO000038,PACK-700,10.1,23130,Actuator response delayed,FC-PNE-07,pneumatic,24x7_duty,Observed: Actuator response delayed. Inspected pneumatic subsystem. Replaced primary component and verified normal operation.,2.57,243.15,2025-02-15T01:47:13,P-1057|P-1153,frl_unit,train
RO000039,PACK-700,4.5,9875,Pneumatic valve not switching,FC-PNE-07,pneumatic,normal,Observed: Pneumatic valve not switching. Inspected pneumatic subsystem. Replaced primary component and verified normal operation.,1.6,292.25,2026-04-11T17:21:55,P-1188,frl_unit,test
RO000040,CNC-4020,5.6,9899,Thermal trip during long cycle,FC-SPN-17,spindle,high_humidity,Observed: Thermal trip during long cycle. Inspected spindle subsystem. Replaced primary component and verified normal operation.,5.86,254.14,2023-05-10T20:43:29,P-1221|P-1351,bearing_set_v2|high_temp_grease,train
RO000041,CONV-X200,6.0,13833,Line speed not maintained,FC-CON-09,conveyor,dusty,Observed: Line speed not maintained. Inspected conveyor subsystem. Replaced primary component and verified normal operation.,4.51,194.09,2024-01-06T17:02:48,P-1251,tensioner,train
RO000042,CNC-5100,8.5,19390,Spindle overheating at high RPM,FC-SPN-17,spindle,normal,Observed: Spindle overheating at high RPM. Inspected spindle subsystem. Replaced primary component and verified normal operation.,7.26,426.9,2026-03-10T17:41:22,P-1004|P-1301,chain_lube|spindle_motor,test
RO000043,CONV-X200,9.6,22502,Conveyor slipping under load,FC-CON-09,conveyor,high_temp,Observed: Conveyor slipping under load. Inspected conveyor subsystem. Replaced primary component and verified normal operation.,8.97,355.56,2024-07-25T04:23:38,P-1234|P-1295,fuse|tensioner,train
RO000044,HYD-Press-940,8.0,22268,Hydraulic pressure drops after 20 min,FC-HYD-04,hydraulic,normal,Observed: Hydraulic pressure drops after 20 min. Inspected hydraulic subsystem. rplcd primary component and vrfd normal operation.,8.65,198.95,2023-05-01T23:50:25,P-1002|P-1126|P-1316,fluid_filter|hydraulic_hose|pump,train
RO000045,MILL-3AX,6.8,14288,Coolant temperature high,FC-CLG-11,cooling,normal,Observed: Coolant temperature high. Inspected cooling subsystem. Replaced primary component and verified normal operation.,6.41,177.13,2024-12-10T12:43:54,P-1128|P-1234,fan|fuse,train
RO000046,MILL-3AX,11.9,27259,Spindle overheating at high RPM,FC-SPN-17,spindle,high_humidity,Observed: Spindle overheating at high RPM. Inspected spindle subsystem. Replaced primary component and verified normal operation.,8.2,77.58,2023-08-22T21:31:17,P-1228,high_temp_grease,train
RO000047,MILL-5AX,3.2,4252,Spindle overheating at high RPM,FC-SPN-17,spindle,high_humidity,Observed: Spindle overheating at high RPM. Inspected spindle subsystem. Replaced primary component and verified normal operation.,7.36,263.24,2023-08-10T04:04:05,P-1069|P-1148,high_temp_grease,train
RO000048,CONV-X200,6.6,15868,Actuator response delayed,FC-PNE-07,pneumatic,dusty,Observed: Actuator response delayed. Inspected pneumatic subsystem. Replaced primary component and verified normal operation.,2.22,98.0,2023-04-07T18:04:24,P-1236,air_line,train
RO000049,HYD-Press-880,12.0,23627,Unexpected motor stop fault,FC-ELC-22,electrical,high_humidity,Observed: Unexpected motor stop fault. Inspected electrical subsystem. Replaced primary component and verified normal operation.,1.9,477.75,2024-09-23T11:53:11,P-1046|P-1154,fuse|wiring_harness,train
RO000050,MILL-3AX,11.3,20162,Spindle overheating at high RPM,FC-SPN-17,spindle,high_temp,Observed: Spindle overheating at high RPM. Inspected spindle subsystem. rplcd primary component and vrfd normal operation.,7.96,47.36,2025-11-17T23:13:34,P-1010,spindle_motor,val
RO000051,PACK-700,6.7,13415,Conveyor slipping under load,FC-CON-09,conveyor,high_temp,Observed: Conveyor slipping under load. Inspected conveyor subsystem. Replaced primary component and verified normal operation.,4.61,319.31,2025-09-06T03:11:44,P-1107|P-1199|P-1226,chain_lube|high_temp_grease|idler_roller,train
RO000052,PACK-700,4.5,12676,Pneumatic valve not switching,FC-PNE-07,pneumatic,normal,Observed: Pneumatic valve not switching. Inspected pneumatic subsystem. Replaced primary component and vrfd normal operation.,5.65,346.46,2024-09-05T14:37:06,P-1034|P-1062,fluid_filter|solenoid_valve,train
RO000053,CNC-4020,4.9,11275,Control cabinet overheating trip,FC-ELC-22,electrical,dusty,Observed: Control cabinet overheating trip. Inspected electrical subsystem. Replaced primary component and verified normal operation.,1.43,642.12,2023-04-05T17:27:52,P-1039|P-1125,fuse|sensor_prox,train
RO000054,MILL-3AX,10.2,24324,Abnormal spindle temperature alarm,FC-SPN-17,spindle,dusty,Observed: Abnormal spindle temperature alarm. Inspected spindle subsystem. Replaced primary component and verified normal operation.,6.81,358.11,2025-02-19T10:34:41,P-1069|P-1309,high_temp_grease,train
RO000055,PACK-900,7.1,15451,Intermittent conveyor jerk,FC-CON-09,conveyor,high_humidity,Observed: Intermittent conveyor jerk. Inspected conveyor subsystem. Replaced primary component and verified normal operation.,2.36,124.91,2024-02-19T00:50:48,P-1009|P-1199,chain_lube|drive_chain,train
RO000056,CNC-4020,11.6,24139,Coolant temperature high,FC-CLG-11,cooling,high_temp,Observed: Coolant temperature high. Inspected cooling subsystem. Replaced primary component and verified normal operation.,5.29,146.5,2025-05-24T18:13:15,P-1030,radiator_core,train
RO000057,HYD-Press-940,6.5,16091,Hydraulic force below setpoint,FC-HYD-04,hydraulic,high_temp,Observed: Hydraulic force below setpoint. Inspected hydraulic subsystem. Replaced primary component and verified normal operation.,6.47,191.28,2024-05-17T16:15:55,P-1061|P-1201,fluid_filter|seal_kit,train
RO000058,CNC-4020,1.1,823,Spindle overheating at high RPM,FC-SPN-17,spindle,dusty,Observed: Spindle overheating at high RPM. Inspected spindle subsystem. Replaced primary component and verified normal operation.,6.3,595.33,2025-10-05T11:11:40,P-1159|P-1215|P-1283,bearing_set|high_temp_grease|shaft_seal,train
RO000059,CONV-X350,13.6,27652,Line speed not maintained,FC-CON-09,conveyor,24x7_duty,Observed: Line speed not maintained. Inspected conveyor subsystem. Replaced primary component and verified normal operation.,3.73,194.87,2023-02-20T07:18:58,P-1166|P-1268|P-1335,high_temp_grease|idler_roller|tensioner,train
RO000060,HYD-Press-940,2.5,2553,Hydraulic force below setpoint,FC-HYD-04,hydraulic,24x7_duty,Observed: Hydraulic force below setpoint. Inspected hydraulic subsystem. Replaced primary component and verified normal operation.,9.27,216.18,2024-06-05T13:38:50,P-1053|P-1162,fluid_filter|seal_kit,train
RO000061,CNC-4020,11.5,25619,Control cabinet overheating trip,FC-ELC-22,electrical,normal,Observed: Control cabinet overheating trip. Inspected electrical subsystem. Replaced primary component and verified normal operation.,3.2,168.59,2025-04-28T05:14:56,P-1120|P-1325,relay|sensor_prox,train
RO000062,CNC-5100,12.4,27593,Control cabinet overheating trip,FC-ELC-22,electrical,24x7_duty,Observed: Control cabinet overheating trip. Inspected electrical subsystem. rplcd primary component and verified normal operation.,4.92,189.57,2023-05-25T15:11:39,P-1019|P-1029,relay,train
RO000063,PACK-900,5.5,12179,Line speed not maintained,FC-CON-09,conveyor,dusty,Observed: Line speed not maintained. Inspected conveyor subsystem. Replaced primary component and verified normal operation.,2.42,382.79,2023-05-30T00:00:17,P-1045|P-1111,chain_lube|idler_roller,train
RO000064,MILL-5AX,8.9,19923,Thermal trip during long cycle,FC-SPN-17,spindle,high_temp,Observed: Thermal trip during long cycle. Inspected spindle subsystem. Replaced primary component and verified normal operation.,6.13,300.48,2024-04-24T00:14:52,P-1083|P-1351,bearing_set_v2|high_temp_grease,train
RO000065,PACK-900,4.4,12588,Control cabinet overheating trip,FC-ELC-22,electrical,high_humidity,Observed: Control cabinet overheating trip. Inspected electrical subsystem. Replaced primary component and verified normal operation.,5.15,182.97,2023-08-23T18:33:35,P-1274|P-1320,contactor|relay,train
RO000066,PACK-700,6.4,14201,Actuator response delayed,FC-PNE-07,pneumatic,24x7_duty,Observed: Actuator response delayed. Inspected pneumatic subsystem. Replaced primary component and verified normal operation.,4.17,72.61,2024-01-02T01:22:16,P-1254,air_line,train
RO000067,CONV-X200,7.4,13266,Unexpected motor stop fault,FC-ELC-22,electrical,normal,Observed: Unexpected motor stop fault. Inspected electrical subsystem. Replaced primary component and verified normal operation.,3.45,238.75,2023-05-02T17:47:24,P-1250|P-1289,fuse,train
RO000068,CONV-X350,0.7,221,Actuator response delayed,FC-PNE-07,pneumatic,dusty,Observed: Actuator response delayed. Inspected pneumatic subsystem. Replaced primary component and verified normal operation.,4.01,478.87,2023-08-21T11:04:12,P-1153|P-1255,air_line|frl_unit,train
RO000069,HYD-Press-880,8.8,17901,Hydraulic pressure drops after 20 min,FC-HYD-04,hydraulic,normal,Observed: Hydraulic pressure drops after 20 min. Inspected hydraulic subsystem. Replaced primary component and verified normal operation.,6.25,1050.34,2023-03-02T05:55:03,P-1182|P-1211|P-1300,fluid_filter|pressure_valve,train
RO000070,CONV-X350,5.2,11254,Intermittent sensor fault,FC-ELC-22,electrical,high_temp,Observed: Intermittent sensor fault. Inspected electrical subsystem. Replaced primary component and verified normal operation.,3.04,270.96,2024-04-11T18:43:22,P-1114|P-1180,relay|sensor_prox,train
RO000071,CONV-X350,9.0,18869,Air pressure fluctuation in line,FC-PNE-07,pneumatic,high_temp,Observed: Air pressure fluctuation in line. Inspected pneumatic subsystem. Replaced primary component and verified normal operation.,4.74,351.7,2024-04-28T07:30:34,P-1106|P-1157,frl_unit|solenoid_valve,train
RO000072,CONV-X350,8.5,19056,Actuator response delayed,FC-PNE-07,pneumatic,24x7_duty,Observed: Actuator response delayed. Inspected pneumatic subsystem. Replaced primary component and verified normal operation.,3.78,269.26,2024-03-01T14:37:17,P-1079,solenoid_valve,train
RO000073,PACK-900,7.5,17853,Line speed not maintained,FC-CON-09,conveyor,normal,Observed: Line speed not maintained. Inspected conveyor subsystem. Replaced primary component and verified normal operation.,5.27,316.43,2025-12-06T02:12:34,P-1149|P-1315,belt|idler_roller,val
RO000074,MILL-3AX,12.4,25497,Spindle overheating at high RPM,FC-SPN-17,spindle,dusty,Observed: Spindle overheating at high RPM. Inspected spindle subsystem. Replaced primary component and verified normal operation.,6.67,543.37,2023-07-25T13:01:36,P-1107|P-1221,high_temp_grease,train
RO000075,PACK-900,2.2,6515,Pneumatic valve not switching,FC-PNE-07,pneumatic,dusty,Observed: Pneumatic valve not switching. Inspected pneumatic subsystem. Replaced primary component and verified normal operation.,3.0,336.85,2025-06-26T23:15:38,P-1157|P-1191|P-1236,air_line|frl_unit,train
RO000076,CNC-4020,7.6,15632,Thermal trip during long cycle,FC-SPN-17,spindle,high_humidity,Observed: Thermal trip during long cycle. Inspected spindle subsystem. Replaced primary component and verified normal operation.,5.72,191.58,2024-04-09T03:44:24,P-1067|P-1148|P-1335,high_temp_grease|shaft_seal,train
RO000077,HYD-Press-880,10.7,24789,Hydraulic force below setpoint,FC-HYD-04,hydraulic,normal,Observed: Hydraulic force below setpoint. Inspected hydraulic subsystem. Replaced primary component and verified normal operation.,7.51,349.87,2026-06-21T15:13:59,P-1201|P-1328,fluid_filter|hydraulic_hose,test
RO000078,HYD-Press-940,9.3,21881,Hydraulic force below setpoint,FC-HYD-04,hydraulic,24x7_duty,Observed: hyd force below setpoint. Inspected hyd subsystem. Replaced primary component and verified normal operation.,8.31,468.01,2024-06-05T09:17:06,P-1088|P-1328,fluid_filter|hydraulic_hose,train
RO000079,PACK-700,2.6,4101,Actuator response delayed,FC-PNE-07,pneumatic,high_humidity,Observed: Actuator response delayed. Inspected pneumatic subsystem. Replaced primary component and verified normal operation.,1.75,179.14,2023-10-30T05:07:07,P-1065|P-1269,air_line|frl_unit,train
RO000080,CNC-4020,10.5,25508,Heat exchanger inefficiency warning,FC-CLG-11,cooling,high_humidity,Observed: Heat exchanger inefficiency warning. Inspected cooling subsystem. Replaced primary component and verified normal operation.,7.26,423.79,2023-10-08T04:11:15,P-1013|P-1054,coolant_filter|thermostat,train
RO000081,MILL-5AX,0.9,3908,Abnormal spindle temperature alarm,FC-SPN-17,spindle,dusty,Observed: Abnormal spindle temperature alarm. Inspected spindle subsystem. Replaced primary component and verified normal operation.,8.9,598.92,2023-01-08T06:04:41,P-1004|P-1083|P-1130,high_temp_grease|shaft_seal|spindle_motor,train
RO000082,CNC-5100,10.3,18787,Thermal trip during long cycle,FC-SPN-17,spindle,normal,Observed: Thermal trip during long cycle. Inspected spindle subsystem. Replaced primary component and verified normal operation.,8.1,121.11,2024-08-18T19:47:53,P-1329,spindle_motor,train
RO000083,MILL-3AX,7.1,15201,Coolant temperature high,FC-CLG-11,cooling,normal,Observed: Coolant temperature high. Inspected cooling subsystem. Replaced primary component and verified normal operation.,5.14,277.97,2023-10-20T17:01:54,P-1076|P-1184,coolant_filter|radiator_core,train
RO000084,HYD-Press-940,3.9,8585,Hydraulic pressure drops after 20 min,FC-HYD-04,hydraulic,dusty,Observed: hydralic pressure drops after 20 min. Inspected hydraulic subsystem. Replaced primary component and verified normal operation.,8.29,350.7,2023-06-29T20:57:27,P-1175|P-1282|P-1327,fluid_filter|hydraulic_hose|pump,train
RO000085,PACK-900,8.9,19685,Control cabinet overheating trip,FC-ELC-22,electrical,high_humidity,Observed: Control cabinet overheating trip. Inspected electrical subsystem. Replaced primary component and verified normal operation.,3.21,267.76,2023-06-12T23:29:10,P-1122|P-1317,relay|wiring_harness,train
RO000086,CNC-4020,3.5,7430,Insufficient coolant flow alarm,FC-CLG-11,cooling,normal,Observed: Insufficient coolant flow alarm. Inspected cooling subsystem. Replaced primary component and verified normal operation.,3.0,171.63,2025-05-01T12:05:39,P-1213,thermostat,train
RO000087,HYD-Press-940,10.1,18285,Intermittent sensor fault,FC-ELC-22,electrical,high_humidity,Observed: Intermittent sensor fault. Inspected electrical subsystem. Replaced primary component and verified normal operation.,3.93,411.39,2024-02-15T07:17:40,P-1019|P-1026|P-1309,fuse|high_temp_grease|relay,train
RO000088,CNC-4020,9.9,24153,Unexpected motor stop fault,FC-ELC-22,electrical,normal,Observed: Unexpected motor stop fault. Inspected electrical subsystem. rplcd primary component and verified normal operation.,3.62,284.67,2025-08-23T22:38:47,P-1180|P-1289,fuse|sensor_prox,train
RO000089,CONV-X200,9.7,21052,Intermittent conveyor jerk,FC-CON-09,conveyor,dusty,Observed: Intermittent conveyor jerk. Inspected conveyor subsystem. Replaced primary component and verified normal operation.,3.22,313.6,2025-12-17T11:05:38,P-1287|P-1348,belt|chain_lube,val
RO000090,PACK-700,11.6,25345,Actuator response delayed,FC-PNE-07,pneumatic,24x7_duty,Observed: Actuator response delayed. Inspected pneumatic subsystem. Replaced primary component and verified normal operation.,2.76,151.94,2025-01-28T06:32:10,P-1269|P-1344,air_line,train
RO000091,MILL-5AX,5.6,11550,Abnormal spindle temperature alarm,FC-SPN-17,spindle,high_humidity,Observed: Abnormal spindle temperature alarm. Inspected spindle subsystem. Replaced primary component and verified normal operation.,6.69,182.56,2025-12-05T03:30:29,P-1159|P-1335,high_temp_grease,val
RO000092,PACK-700,14.0,31740,Air pressure fluctuation in line,FC-PNE-07,pneumatic,dusty,Observed: Air pressure fluctuation in line. Inspected pneumatic subsystem. Replaced primary component and verified normal operation.,4.69,175.99,2023-09-14T22:42:12,P-1057|P-1269,air_line|frl_unit,train
RO000093,MILL-5AX,14.4,33442,Abnormal spindle temperature alarm,FC-SPN-17,spindle,high_humidity,Observed: Abnormal spindle temperature alarm. Inspected spindle subsystem. Replaced primary component and verified normal operation.,7.49,176.16,2023-01-28T14:28:52,P-1160|P-1242|P-1343,bearing_set|fuse|shaft_seal,train
RO000094,MILL-5AX,5.6,12889,Abnormal spindle temperature alarm,FC-SPN-17,spindle,24x7_duty,Observed: Abnormal spindle temperature alarm. Inspected spindle subsystem. Replaced primary component and verified normal operation.,6.81,344.85,2026-06-22T12:37:58,P-1283|P-1309,bearing_set|high_temp_grease,test
RO000095,HYD-Press-940,7.3,18425,Pressure unstable during press cycle,FC-HYD-04,hydraulic,24x7_duty,Observed: Pressure unstable during press cycle. Inspected hydraulic subsystem. Replaced primary component and verified normal operation.,6.7,1240.11,2025-02-03T22:49:41,P-1214|P-1328|P-1336,fluid_filter|hydraulic_hose,train
RO000096,HYD-Press-940,8.5,20408,Hydraulic pressure drops after 20 min,FC-HYD-04,hydraulic,dusty,Observed: Hydraulic pressure drops after 20 min. Inspected hydraulic subsystem. Replaced primary component and verified normal operation.,6.89,265.72,2026-04-14T11:39:30,P-1005|P-1061,fuse|seal_kit,test
RO000097,PACK-900,4.5,9629,Intermittent sensor fault,FC-ELC-22,electrical,24x7_duty,Observed: Intermittent sensor fault. Inspected electrical subsystem. Replaced primary component and verified normal operation.,2.4,16.8,2023-10-03T06:35:08,P-1320,relay,train
RO000098,PACK-900,10.5,21296,Pneumatic valve not switching,FC-PNE-07,pneumatic,normal,Observed: Pneumatic valve not switching. Inspected pneumatic subsystem. Replaced primary component and verified normal operation.,4.0,224.65,2024-04-01T23:35:04,P-1255|P-1344,air_line,train
